'2020-02-26 19:34:25','PODDv1.2_004','Sound',7.39,'2020-02-26 11:34:24'
'2020-02-26 19:34:26','PODDv1.2_004','Humidity',31.72,'2020-02-26 11:34:25'
'2020-02-26 19:34:28','PODDv1.2_004','AirTemp',73.09,'2020-02-26 11:34:25'
'2020-02-26 19:35:02','PODDv1.2_005','Light',419.68,'2020-02-26 11:35:01'
'2020-02-26 19:35:03','PODDv1.2_005','Sound',8.93,'2020-02-26 11:35:02'
'2020-02-26 19:35:04','PODDv1.2_005','Humidity',31.6,'2020-02-26 11:35:03'
'2020-02-26 19:35:05','PODDv1.2_005','AirTemp',73.31,'2020-02-26 11:35:03'
'2020-02-26 19:35:07','PODDv1.2_005','GlobeTemp',72.69,'2020-02-26 11:35:06'
'2020-02-26 19:35:08','PODDv1.2_005','CO2',514,'2020-02-26 11:35:07'
'2020-02-26 19:35:09','PODDv1.2_005','CO',0,'2020-02-26 11:35:08'
'2020-02-26 19:35:42','PODDv1.2_006','Light',464.32,'2020-02-26 11:35:41'
'2020-02-26 19:35:43','PODDv1.2_006','Sound',5.09,'2020-02-26 11:35:42'
'2020-02-26 19:35:45','PODDv1.2_006','AirTemp',73.42,'2020-02-26 11:35:43'
'2020-02-26 19:35:46','PODDv1.2_006','GlobeTemp',72.69,'2020-02-26 11:35:45'
'2020-02-26 19:35:48','PODDv1.2_006','CO2',514,'2020-02-26 11:35:47'
'2020-02-26 19:35:48','PODDv1.2_003','Humidity',33.31,'2020-02-26 11:35:48'
'2020-02-26 19:35:48','PODDv1.2_003','AirTemp',73.46,'2020-02-26 11:35:48'
'2020-02-26 19:35:49','PODDv1.2_003','GlobeTemp',73.94,'2020-02-26 11:35:48'
'2020-02-26 19:35:49','PODDv1.2_003','CO2',572,'2020-02-26 11:35:48'
'2020-02-26 19:35:49','PODDv1.2_006','CO',0,'2020-02-26 11:35:48'
'2020-02-26 19:35:49','PODDv1.2_003','CO',0,'2020-02-26 11:35:49'
'2020-02-26 19:35:50','PODDv1.2_003','PM_2.5',0.89,'2020-02-26 11:35:50'
'2020-02-26 19:35:50','PODDv1.2_003','PM_10',0.89,'2020-02-26 11:35:50'
'2020-02-26 19:35:51','PODDv1.2_003','Light',479.68,'2020-02-26 11:35:50'
'2020-02-26 19:35:51','PODDv1.2_003','Sound',6.18,'2020-02-26 11:35:51'
'2020-02-26 19:36:12','PODDv1.2_007','Light',510.72,'2020-02-26 11:36:11'
'2020-02-26 19:36:13','PODDv1.2_007','Sound',3.59,'2020-02-26 11:36:12'
'2020-02-26 19:36:15','PODDv1.2_007','Humidity',34.51,'2020-02-26 11:36:13'
'2020-02-26 19:36:16','PODDv1.2_007','AirTemp',73.26,'2020-02-26 11:36:13'
'2020-02-26 19:36:17','PODDv1.2_007','GlobeTemp',72.69,'2020-02-26 11:36:15'
'2020-02-26 19:36:18','PODDv1.2_007','CO2',504,'2020-02-26 11:36:17'
'2020-02-26 19:36:19','PODDv1.2_007','CO',0,'2020-02-26 11:36:18'
'2020-02-26 19:36:20','PODDv1.2_004','GlobeTemp',72.69,'2020-02-26 11:36:19'
'2020-02-26 19:36:22','PODDv1.2_004','CO2',507,'2020-02-26 11:36:20'
'2020-02-26 19:36:23','PODDv1.2_004','CO',0,'2020-02-26 11:36:21'
'2020-02-26 19:36:24','PODDv1.2_004','Light',438.4,'2020-02-26 11:36:22'
'2020-02-26 19:36:25','PODDv1.2_004','Sound',8.24,'2020-02-26 11:36:24'
'2020-02-26 19:36:26','PODDv1.2_004','Humidity',31.67,'2020-02-26 11:36:25'
'2020-02-26 19:36:28','PODDv1.2_004','AirTemp',73.06,'2020-02-26 11:36:25'
'2020-02-26 19:36:54','PODDv1.2_008','CO2',534,'2020-02-26 11:36:53'
'2020-02-26 19:36:55','PODDv1.2_008','CO',0,'2020-02-26 11:36:54'
'2020-02-26 19:36:57','PODDv1.2_008','Light',413.6,'2020-02-26 11:36:56'
'2020-02-26 19:36:58','PODDv1.2_008','Sound',12.53,'2020-02-26 11:36:57'
'2020-02-26 19:36:59','PODDv1.2_008','Humidity',32.21,'2020-02-26 11:36:58'
'2020-02-26 19:37:00','PODDv1.2_008','AirTemp',72.86,'2020-02-26 11:36:58'
'2020-02-26 19:37:01','PODDv1.2_008','GlobeTemp',72.69,'2020-02-26 11:37:00'
'2020-02-26 19:37:02','PODDv1.2_005','Light',424,'2020-02-26 11:37:01'
'2020-02-26 19:37:03','PODDv1.2_005','Sound',9.64,'2020-02-26 11:37:02'
'2020-02-26 19:37:04','PODDv1.2_005','Humidity',31.6,'2020-02-26 11:37:03'
'2020-02-26 19:37:05','PODDv1.2_005','AirTemp',73.29,'2020-02-26 11:37:03'
'2020-02-26 19:37:07','PODDv1.2_005','GlobeTemp',72.69,'2020-02-26 11:37:06'
'2020-02-26 19:37:08','PODDv1.2_005','CO2',547,'2020-02-26 11:37:07'
'2020-02-26 19:37:09','PODDv1.2_005','CO',0,'2020-02-26 11:37:08'
'2020-02-26 19:37:42','PODDv1.2_006','Light',456.32,'2020-02-26 11:37:41'
'2020-02-26 19:37:43','PODDv1.2_006','Sound',4.63,'2020-02-26 11:37:42'
'2020-02-26 19:37:44','PODDv1.2_006','Humidity',32.69,'2020-02-26 11:37:43'
'2020-02-26 19:37:45','PODDv1.2_006','AirTemp',73.42,'2020-02-26 11:37:43'
'2020-02-26 19:37:46','PODDv1.2_006','GlobeTemp',72.69,'2020-02-26 11:37:45'
'2020-02-26 19:37:48','PODDv1.2_006','CO2',511,'2020-02-26 11:37:47'
'2020-02-26 19:37:48','PODDv1.2_003','CO2',547,'2020-02-26 11:37:48'
'2020-02-26 19:37:48','PODDv1.2_003','Humidity',33.36,'2020-02-26 11:37:48'
'2020-02-26 19:37:49','PODDv1.2_003','AirTemp',73.42,'2020-02-26 11:37:48'
'2020-02-26 19:37:49','PODDv1.2_003','GlobeTemp',73.94,'2020-02-26 11:37:49'
'2020-02-26 19:37:49','PODDv1.2_003','CO',1,'2020-02-26 11:37:49'
'2020-02-26 19:37:49','PODDv1.2_006','CO',0,'2020-02-26 11:37:48'
'2020-02-26 19:37:50','PODDv1.2_003','PM_2.5',0.71,'2020-02-26 11:37:50'
'2020-02-26 19:37:50','PODDv1.2_003','PM_10',0.71,'2020-02-26 11:37:50'
'2020-02-26 19:37:51','PODDv1.2_003','Light',464.32,'2020-02-26 11:37:50'
'2020-02-26 19:37:51','PODDv1.2_003','Sound',6.46,'2020-02-26 11:37:51'
'2020-02-26 19:38:12','PODDv1.2_007','Light',505.76,'2020-02-26 11:38:11'
'2020-02-26 19:38:13','PODDv1.2_007','Sound',3.66,'2020-02-26 11:38:12'
'2020-02-26 19:38:15','PODDv1.2_007','Humidity',34.68,'2020-02-26 11:38:13'
'2020-02-26 19:38:16','PODDv1.2_007','AirTemp',73.31,'2020-02-26 11:38:13'
'2020-02-26 19:38:17','PODDv1.2_007','GlobeTemp',72.69,'2020-02-26 11:38:15'
'2020-02-26 19:38:18','PODDv1.2_007','CO2',519,'2020-02-26 11:38:17'
'2020-02-26 19:38:19','PODDv1.2_007','CO',0,'2020-02-26 11:38:18'
'2020-02-26 19:38:20','PODDv1.2_004','GlobeTemp',72.69,'2020-02-26 11:38:19'
'2020-02-26 19:38:22','PODDv1.2_004','CO2',511,'2020-02-26 11:38:20'
'2020-02-26 19:38:23','PODDv1.2_004','CO',0,'2020-02-26 11:38:21'
'2020-02-26 19:38:24','PODDv1.2_004','Light',434.72,'2020-02-26 11:38:22'
'2020-02-26 19:38:25','PODDv1.2_004','Sound',8.29,'2020-02-26 11:38:24'
'2020-02-26 19:38:26','PODDv1.2_004','Humidity',31.82,'2020-02-26 11:38:25'
'2020-02-26 19:38:28','PODDv1.2_004','AirTemp',73.06,'2020-02-26 11:38:25'
'2020-02-26 19:38:54','PODDv1.2_008','CO2',523,'2020-02-26 11:38:53'
'2020-02-26 19:38:55','PODDv1.2_008','CO',0,'2020-02-26 11:38:54'
'2020-02-26 19:38:57','PODDv1.2_008','Light',417.92,'2020-02-26 11:38:55'
'2020-02-26 19:38:58','PODDv1.2_008','Sound',14.44,'2020-02-26 11:38:57'
'2020-02-26 19:38:59','PODDv1.2_008','Humidity',32.18,'2020-02-26 11:38:58'
'2020-02-26 19:39:00','PODDv1.2_008','AirTemp',72.93,'2020-02-26 11:38:58'
'2020-02-26 19:39:01','PODDv1.2_008','GlobeTemp',72.94,'2020-02-26 11:39:00'
'2020-02-26 19:39:02','PODDv1.2_005','Light',428.8,'2020-02-26 11:39:01'
'2020-02-26 19:39:03','PODDv1.2_005','Sound',8.21,'2020-02-26 11:39:02'
'2020-02-26 19:39:04','PODDv1.2_005','Humidity',31.62,'2020-02-26 11:39:03'
'2020-02-26 19:39:05','PODDv1.2_005','AirTemp',73.31,'2020-02-26 11:39:03'
'2020-02-26 19:39:07','PODDv1.2_005','GlobeTemp',72.69,'2020-02-26 11:39:06'
'2020-02-26 19:39:08','PODDv1.2_005','CO2',543,'2020-02-26 11:39:07'
'2020-02-26 19:39:09','PODDv1.2_005','CO',0,'2020-02-26 11:39:08'
'2020-02-26 19:39:31','PODDv1.2_009','Light',498.4,'2020-02-26 11:39:30'
'2020-02-26 19:39:32','PODDv1.2_009','Sound',5.39,'2020-02-26 11:39:31'
'2020-02-26 19:39:33','PODDv1.2_009','Humidity',32.1,'2020-02-26 11:39:32'
'2020-02-26 19:39:34','PODDv1.2_009','AirTemp',73.22,'2020-02-26 11:39:32'
'2020-02-26 19:39:36','PODDv1.2_009','GlobeTemp',72.69,'2020-02-26 11:39:35'
'2020-02-26 19:39:37','PODDv1.2_009','CO2',529,'2020-02-26 11:39:36'
'2020-02-26 19:39:38','PODDv1.2_009','CO',0,'2020-02-26 11:39:37'
'2020-02-26 19:39:42','PODDv1.2_006','Light',465.28,'2020-02-26 11:39:41'
'2020-02-26 19:39:43','PODDv1.2_006','Sound',4.98,'2020-02-26 11:39:42'
'2020-02-26 19:39:44','PODDv1.2_006','Humidity',32.66,'2020-02-26 11:39:43'
'2020-02-26 19:39:45','PODDv1.2_006','AirTemp',73.46,'2020-02-26 11:39:43'
'2020-02-26 19:39:46','PODDv1.2_006','GlobeTemp',72.69,'2020-02-26 11:39:45'
'2020-02-26 19:39:48','PODDv1.2_006','CO2',523,'2020-02-26 11:39:47'
'2020-02-26 19:39:48','PODDv1.2_003','Humidity',33.34,'2020-02-26 11:39:48'
'2020-02-26 19:39:48','PODDv1.2_003','AirTemp',73.46,'2020-02-26 11:39:48'
'2020-02-26 19:39:49','PODDv1.2_003','GlobeTemp',73.94,'2020-02-26 11:39:48'
'2020-02-26 19:39:49','PODDv1.2_003','CO2',541,'2020-02-26 11:39:48'
